Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count,Graduation Rate
2022-23,Yreka Union High,Discovery High,GM,53,46,86.8,22,0.41509433962264153
2022-23,Las Virgenes Unified,Agoura High,GF,838,122,14.6,180,0.21479713603818615
2022-23,San Diego Unified,Canyon Hills High,GM,720,130,18.1,131,0.18194444444444444
2022-23,Santa Cruz County Office of Education,Santa Cruz County Career Advancement Charter,GM,122,1,0.8,39,0.319672131147541
2022-23,Chaffey Joint Union High,Valley View High (Continuation),GF,220,203,92.3,68,0.3090909090909091
2022-23,Coachella Valley Unified,Desert Mirage High,RH,2058,1047,50.9,382,0.18561710398445092
2022-23,Los Angeles Unified,East Valley Senior High,SD,129,53,41.1,17,0.13178294573643412
2022-23,Folsom-Cordova Unified,Cordova High,TA,2017,556,27.6,358,0.1774913237481408
2022-23,Saddleback Valley Unified,Laguna Hills High,SS,812,152,18.7,159,0.1958128078817734
2022-23,Antelope Valley Union High,SOAR High (Students On Academic Rise),SS,298,17,5.7,51,0.17114093959731544
2022-23,Butte County Office of Education,Hearthstone,GM,115,36,31.3,8,0.06956521739130435
2022-23,Inyo County Office of Education,YouthBuild Charter School of California,RT,15,12,80,3,0.2
2022-23,Lompoc Unified,Lompoc High,GM,893,231,25.9,153,0.1713325867861142
2022-23,Lodi Unified,Liberty High,SD,21,13,61.9,6,0.2857142857142857
2022-23,Los Angeles Unified,Granada Hills Charter,SE,159,34,21.4,14,0.0880503144654088
2022-23,Pleasanton Unified,Foothill High,RF,44,4,9.1,4,0.09090909090909091
2022-23,Folsom-Cordova Unified,Kinney High (Continuation),RB,34,29,85.3,5,0.14705882352941177
2022-23,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,RH,558,168,30.1,74,0.13261648745519714
2022-23,Monterey Peninsula Unified,Marina High,RB,39,9,23.1,8,0.20512820512820512
2022-23,Manhattan Beach Unified,District Office,SD,19,0,0,4,0.21052631578947367
2022-23,Bellflower Unified,District Office,TA,36,10,27.8,5,0.1388888888888889
2022-23,Los Angeles Unified,Angel's Gate (Continuation),SE,13,10,76.9,4,0.3076923076923077
2022-23,Adelanto Elementary,Taylion High Desert Academy/Adelanto,GM,468,259,55.3,21,0.04487179487179487
2022-23,Long Beach Unified,Eunice Sato Academy of Math & Science,SS,180,17,9.4,30,0.16666666666666666
2022-23,Anderson Valley Unified,Anderson Valley Junior-Senior High,TA,230,84,36.5,44,0.19130434782608696
2022-23,Irvine Unified,Creekside High,RW,35,32,91.4,10,0.2857142857142857
2022-23,Oro Grande,Mojave River Academy - National Trails,SD,131,25,19.1,11,0.08396946564885496
2022-23,Torrance Unified,South High,RH,429,84,19.6,86,0.20046620046620048
2022-23,Los Angeles Unified,San Fernando Senior High,SF,14,4,28.6,2,0.14285714285714285
2022-23,Acalanes Union High,Acalanes High,RB,12,1,8.3,1,0.08333333333333333
2022-23,Paramount Unified,Paramount High,RH,3464,889,25.7,762,0.2199769053117783
2022-23,Santa Monica-Malibu Unified,"Nonpublic, Nonsectarian Schools",GM,11,0,0,1,0.09090909090909091
2022-23,Fullerton Joint Union High,Troy High,RT,115,10,8.7,24,0.20869565217391303
2022-23,San Juan Unified,Casa Roble Fundamental High,RI,13,2,15.4,3,0.23076923076923078
2022-23,Sequoia Union High,Carlmont High,RF,61,3,4.9,16,0.26229508196721313
2022-23,Covina-Valley Unified,Northview High,SE,103,27,26.2,11,0.10679611650485436
2022-23,Manteca Unified,Sierra High,SS,824,147,17.8,21,0.025485436893203883
2022-23,William S. Hart Union High,Academy of the Canyons,GF,219,2,0.9,52,0.2374429223744292
2022-23,Sacramento City Unified,John F. Kennedy High,SH,27,22,81.5,9,0.3333333333333333
2022-23,Los Angeles Unified,Central High,RB,34,32,94.1,8,0.23529411764705882
2022-23,Acton-Agua Dulce Unified,"Method Schools, LA",TA,295,59,20,57,0.19322033898305085
2022-23,Fowler Unified,Fowler High,RH,662,163,24.6,165,0.24924471299093656
2022-23,San Dieguito Union High,Canyon Crest Academy,SD,134,22,16.4,36,0.26865671641791045
2022-23,Duarte Unified,District Office,TA,21,8,38.1,3,0.14285714285714285
2022-23,Mountain Empire Unified,Elite Academic Academy - Mountain Empire,SS,535,63,11.8,13,0.024299065420560748
2022-23,San Juan Unified,El Sereno Alternative Education,RH,51,24,47.1,14,0.27450980392156865
2022-23,Sonoma Valley Unified,Creekside High,RH,52,38,73.1,19,0.36538461538461536
2022-23,Los Angeles Unified,Discovery Charter Preparatory #2,GM,108,46,42.6,29,0.26851851851851855
2022-23,Los Angeles Unified,Animo Pat Brown,SH,26,9,34.6,3,0.11538461538461539
2022-23,Kern High,Centennial High,GF,1106,175,15.8,100,0.09041591320072333
2022-23,Colton Joint Unified,Bloomington High,RB,64,21,32.8,6,0.09375
2022-23,Corona-Norco Unified,Norco High,RA,52,5,9.6,9,0.17307692307692307
2022-23,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,SD,314,98,31.2,30,0.09554140127388536
2022-23,Burbank Unified,Burroughs High,RH,1122,246,21.9,237,0.21122994652406418
2022-23,Escondido Union High,Orange Glen High,RH,1825,682,37.4,372,0.20383561643835615
2022-23,Sequoia Union High,District Office,GF,26,9,34.6,1,0.038461538461538464
2022-23,La Canada Unified,La Canada High,SD,169,28,16.6,23,0.13609467455621302
2022-23,Visalia Unified,Golden West High,RB,32,6,18.8,4,0.125
2022-23,Temecula Valley Unified,Temecula Valley High,SS,844,242,28.7,160,0.1895734597156398
2022-23,San Bernardino City Unified,Sierra High,RW,18,17,94.4,10,0.5555555555555556
2022-23,Los Angeles Unified,Whitney Young Continuation,RH,18,12,66.7,3,0.16666666666666666
2022-23,Round Valley Unified,Round Valley High,SS,115,43,37.4,12,0.10434782608695652
2022-23,Pleasanton Unified,Foothill High,RH,246,43,17.5,100,0.4065040650406504
2022-23,Baldwin Park Unified,District Office,SD,45,25,55.6,1,0.022222222222222223
2022-23,Anaheim Union High,Loara High,SS,1575,489,31,323,0.20507936507936508
2022-23,Winters Joint Unified,Wolfskill High,SS,30,29,96.7,8,0.26666666666666666
2022-23,Madera Unified,Matilda Torres High,RW,103,38,36.9,27,0.2621359223300971
2022-23,San Diego Unified,San Diego SCPA,SE,17,4,23.5,1,0.058823529411764705
2022-23,Sequoia Union High,District Office,GF,26,9,34.6,1,0.038461538461538464
2022-23,Westside Elementary,Crescent View South II,RA,33,20,60.6,2,0.06060606060606061
2022-23,ABC Unified,Gahr (Richard) High,TA,1740,273,15.7,432,0.2482758620689655
2022-23,Bonita Unified,San Dimas High,GF,633,136,21.5,142,0.22432859399684044
2022-23,Red Bluff Joint Union High,Red Bluff High,GM,871,184,21.1,162,0.1859931113662457
2022-23,SBC - High Tech High,High Tech High Chula Vista,GM,364,87,23.9,82,0.22527472527472528
2022-23,Oxnard Union High,Adolfo Camarillo High,SH,61,19,31.1,11,0.18032786885245902
2022-23,Kern High,Foothill High,SS,2010,433,21.5,111,0.05522388059701493
2022-23,Torrance Unified,Torrance High,RB,89,14,15.7,21,0.23595505617977527
2022-23,Chaffey Joint Union High,Alta Loma High,RA,102,9,8.8,23,0.22549019607843138
2022-23,Chaffey Joint Union High,Montclair High,SF,25,6,24,3,0.12
2022-23,Riverside Unified,Summit View Independent Study,SS,109,46,42.2,17,0.1559633027522936
2022-23,Kern High,Arvin High,SS,2794,700,25.1,541,0.19362920544022907
2022-23,Clovis Unified,Gateway High (Continuation),RB,42,24,57.1,3,0.07142857142857142
2022-23,Sweetwater Union High,San Ysidro High,RF,60,6,10,15,0.25
2022-23,East Side Union High,Andrew P. Hill High,SD,252,130,51.6,47,0.1865079365079365
2022-23,Shasta Union High,Foothill High,RT,63,10,15.9,1,0.015873015873015872
